usdPerCall,id,block,provider,endpoint,displayName,description,coverage,dataClass,accuracyAssessment,freshnessAssessment,responseSpeed,relevance,officialStatus,licenceStatus,safetyAssessment,adoption,targetUsers,platformFit,limitation,feedProfile,override10,override100,researchCalls10,researchCalls100,feedCalls10,feedCalls100,researchCost10,researchCost100,feedCost10,feedCost100,sourceUrl
0.01,T34,2,marketbeat,/get_insider_trades,Get insider trades,Company insider transactions,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",insider,High auditability with original filing; parsing and transaction interpretation need checks.,Disclosure-lagged; vendor ingestion lag and Monid tier unmeasured.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors studying executive disclosures,Company insider timeline and holding alerts,"Reported transactions need original SEC links, codes and amendment handling.",entity_hourly,0,0,1100,11000,35200,352000,11.0,110.0,352.0,3520.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_insider_trades
0.01,T35,1,marketbeat,/search_stocks,Search stocks,Find stock records,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",lookup,"Useful candidate matching; validate exchange, instrument type and issuer identifiers.","Mostly reference data; newly listed, delisted and renamed securities need updates.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Catalogue users and data operations,Company onboarding and catalogue search,"Website advertises 20,000 profiles; Monid supported symbols and pagination remain unverified.",lookup_demand,0,0,1100,11000,550.0,5500.0,11.0,110.0,5.5,55.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/search_stocks
0.01,T36,1,marketbeat,/get_options_chain,Get options chain,Option contracts and quotes,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",option,"Validate strike, expiry, contract multiplier, quote side and snapshot time.",Intraday derivative snapshots; Monid delay and chain completeness unverified.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium; optional feature,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Advanced derivatives researchers,Optional options panel,"Optionable securities only; same-named Parse wrapper lacks expiry filtering. Monid filter support, chain completeness and quote age unverified.",entity_market,0,0,1100,11000,171600,1716000,11.0,110.0,1716.0,17160.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_options_chain
0.01,T37,1,marketbeat,/get_stock_overview,Get stock overview,Company research snapshot,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",profile,"Verify identity, business description and field observation dates.",Source website: FMV estimates update each minute; other Barchart data at least 10 minutes delayed. Monid field mix/lag unverified.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company overview page,"Mixed quote/profile fields; source FMV estimates are not necessarily exchange last trades. Fetch time does not establish every field's observation time. Budget is a daily research snapshot, not a live-price panel; refresh quote fields separately.",entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_stock_overview
0.01,T38,1,marketbeat,/get_earnings,Get earnings,Earnings estimates and historical results context,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",reported,Reconcile actuals to issuer releases; analyst estimates are opinions and need period/contributor labels.,"Reporting-cycle data, often quarterly/annual; monitor revisions.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Fundamental analysts and company researchers,Company earnings comparison card,Separate consensus estimates and reported results; upcoming calendar fields and structured surprise/beat-miss flags not established for this Monid tool.,entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_earnings
0.01,T39,1,marketbeat,/get_competitors,Get competitors,Peer comparison data,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",derived,"Validate methodology, source fields and period consistency.",Dependent on underlying source updates and calculation window.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Peer comparison and catalogue navigation,Same-named Parse tool compares financial metrics with a primary competitor; complete peer-universe and Monid schema unverified. Not a supply-chain relationship map.,entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_competitors
0.01,T40,1,marketbeat,/get_marketrank,Get MarketRank score,Proprietary MarketRank score,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",score,Lower evidential weight: proprietary model; no independent calibration established.,MarketBeat says scores change during the trading day as inputs arrive; Monid refresh/lag unverified. A changing score is not a reported fact.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Optional explained research score,"Proprietary ranking is not an accuracy guarantee, probability or investment recommendation.",entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_marketrank
0.01,T41,1,marketbeat,/get_stock_headlines,Get stock headlines,Company headline discovery,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",news,Relevance and factual accuracy unmeasured; retain publisher and original URL.,Article publication plus vendor collection lag; no measured Monid SLA.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Portfolio investors and company-news readers,Company news and portfolio headlines,"No established full-body/image entitlement. Same-named Parse tool exposes roughly 5–10 recent headline links with relative dates; Monid page size, pagination and exact fields unverified.",entity_news,0,0,1100,11000,48000,480000,11.0,110.0,480.0,4800.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_stock_headlines
0.01,T42,1,marketbeat,/get_short_interest,Get short interest,Reported short-interest metrics,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",short,Validate reporting date and denominator; short interest is not short-sale volume.,"Periodic reported positions, not a live position feed.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company positioning card,Periodic disclosed positions; short volume and short interest must not be merged.,entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_short_interest
0.01,T43,1,marketbeat,/get_profitability_metrics,Get profitability metrics,Profitability ratios and margins,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",derived,"Validate methodology, source fields and period consistency.",Dependent on underlying source updates and calculation window.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Financial comparison table,"TTM, fiscal-period and sector accounting differences can make ratios incomparable.",entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_profitability_metrics
0.01,T44,1,marketbeat,/get_stock_forecast,Get price forecast,Analyst target and forecast summary,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",opinion,Assess attribution and contributor coverage; not a verified future outcome.,Changes after analyst publications; stale contributor estimates possible.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Labelled analyst expectations panel,Forecasts are uncertain opinions; contributor population and stale targets require checks.,entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_stock_forecast
0.01,T45,1,stockanalysis,/get_stock_list,List stocks,Stock-list lookup; full-universe coverage unverified,"Website claim: 130,000+ tradable symbols, not companies; Monid count unknown.",screen,"Validate list membership, selection rules and listing identity; do not equate list size with company-universe coverage.",List membership and snapshot values can change; no verified refresh or completeness commitment.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P5 source/provenance assessment; Monid authority unverified.,See P5 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Curated stock-discovery lists,Same-named Parse tool retrieves a curated list by URL slug; it is not evidence of a full supported-symbol directory. Monid parameters/relationship unverified.,global_daily,0,0,1100,11000,30,30,11.0,110.0,0.3,0.3,https://api.monid.ai/public/v1/providers/stockanalysis/endpoints/get_stock_list
0.01,T46,1,stockanalysis,/search_stocks,Search stocks,Search stock records,"Website claim: 130,000+ tradable symbols, not companies; Monid count unknown.",lookup,"Useful candidate matching; validate exchange, instrument type and issuer identifiers.","Mostly reference data; newly listed, delisted and renamed securities need updates.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P5 source/provenance assessment; Monid authority unverified.,See P5 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Catalogue users and data operations,Catalogue symbol matching,Search completeness and exchange-qualified IDs unverified; programmatic-use restriction unresolved.,lookup_demand,0,0,1100,11000,550.0,5500.0,11.0,110.0,5.5,55.0,https://api.monid.ai/public/v1/providers/stockanalysis/endpoints/search_stocks
0.01,T47,1,stockanalysis,/get_stock_financials_income,Get income statement,Income-statement figures,"Website claim: 130,000+ tradable symbols, not companies; Monid count unknown.",reported,Good source-checking potential; reconcile selected values to company filings.,"Reporting-cycle data, often quarterly/annual; monitor revisions.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P5 source/provenance assessment; Monid authority unverified.,See P5 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Fundamental analysts and company researchers,Company income-statement tab,Income statement only; full balance-sheet/cash-flow time series not established. Same-named Parse tool describes annual data; Monid quarterly support and history unverified.,entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/stockanalysis/endpoints/get_stock_financials_income
0.01,T48,1,stockanalysis,/get_market_movers_premarket,Get pre-market movers,Premarket price movers,"Website claim: 130,000+ tradable symbols, not companies; Monid count unknown.",screen,Useful discovery subset; ranking/filter completeness unmeasured.,"Source mover pages update approximately once per minute on refresh; Monid is an untested snapshot, not proven streaming.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P5 source/provenance assessment; Monid authority unverified.,See P5 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Premarket overview,Premarket subset; same-named Parse tool can return an empty active list outside that session. Universe/filter completeness unverified.,global_premarket,0,0,1100,11000,1452,1452,11.0,110.0,14.52,14.52,https://api.monid.ai/public/v1/providers/stockanalysis/endpoints/get_market_movers_premarket
0.01,T49,1,stockanalysis,/get_stock_statistics,Get stock statistics,Company valuation and trading metrics,"Website claim: 130,000+ tradable symbols, not companies; Monid count unknown.",derived,"Validate methodology, source fields and period consistency.",Dependent on underlying source updates and calculation window.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P5 source/provenance assessment; Monid authority unverified.,See P5 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company statistics panel,"Derived metrics require consistent price date, shares, accounting period and currency.",entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/stockanalysis/endpoints/get_stock_statistics
0.01,T50,1,stockanalysis,/get_ipo_calendar,Get IPO calendar,Upcoming IPO calendar,"Website claim: 130,000+ tradable symbols, not companies; Monid count unknown.",calendar,"Useful for planning; flag estimated, confirmed, postponed and cancelled states.",Event-driven revisions; expected dates can change.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P5 source/provenance assessment; Monid authority unverified.,See P5 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,IPO discovery and reminders,"Dates can be tentative, postponed or withdrawn; historical/recent IPO coverage not established. Calendar entries are not ongoing news coverage.",global_daily,0,0,1100,11000,30,30,11.0,110.0,0.3,0.3,https://api.monid.ai/public/v1/providers/stockanalysis/endpoints/get_ipo_calendar
0.01,T51,1,stockanalysis,/get_stock_overview,Get stock overview,Stock quote/overview snapshot; exact Monid shape unverified,"Website claim: 130,000+ tradable symbols, not companies; Monid count unknown.",quote,"Verify ticker/exchange, price basis, market session and observation time; business-description fields are not established.",Source US quote pages refresh in seconds/stream by plan; other markets may be 15-minute delayed or EOD. Monid delivery unverified.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P5 source/provenance assessment; Monid authority unverified.,See P5 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company quote and market-session panel,Same-named Parse tool is a quote overview; do not promise a company business profile. Source offers no official programmatic product.,entity_market,0,0,1100,11000,171600,1716000,11.0,110.0,1716.0,17160.0,https://api.monid.ai/public/v1/providers/stockanalysis/endpoints/get_stock_overview
0.0006,T52,1,defillama,/equities/v1/statements,/equities/v1/statements,Equity financial statements,Unknown exact count; supported ticker/country directory exists.,reported,Good source-checking potential; reconcile selected values to company filings.,"Reporting-cycle data, often quarterly/annual; monitor revisions.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P6 source/provenance assessment; Monid authority unverified.,See P6 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Fundamental analysts and company researchers,Source-aware financials tab,"Beta coverage; period, schema and restatement completeness need per-company validation.",entity_daily,0,0,1100,11000,3000,30000,0.6599999999999999,6.6,1.7999999999999998,18.0,https://api.monid.ai/public/v1/providers/defillama/endpoints/equities/v1/statements
0.0006,T53,1,defillama,/equities/v1/filings,/equities/v1/filings,Filing metadata and original-document links,Unknown exact count; supported ticker/country directory exists.,filing,High auditability when original document URLs resolve to the intended issuer; explicit accession fields are not promised.,"After filing publication, not when the underlying event happened.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P6 source/provenance assessment; Monid authority unverified.,See P6 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company documents timeline,"Links and metadata do not establish full document bodies, earnings news or reproduction rights.",entity_hourly,0,0,1100,11000,35200,352000,0.6599999999999999,6.6,21.119999999999997,211.2,https://api.monid.ai/public/v1/providers/defillama/endpoints/equities/v1/filings
0.0006,T54,1,defillama,/equities/v1/summary,/equities/v1/summary,Compact current-market snapshot,Unknown exact count; supported ticker/country directory exists.,quote,Useful for a timestamped price display; correctness unmeasured through Monid.,Potentially frequent upstream updates; no verified Monid real-time delivery.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P6 source/provenance assessment; Monid authority unverified.,See P6 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company price and valuation summary,Response lacks ticker/name; bind to requested ticker plus country. Mixed market and financial fields do not necessarily share one observation time.,entity_market,0,0,1100,11000,171600,1716000,0.6599999999999999,6.6,102.96,1029.6,https://api.monid.ai/public/v1/providers/defillama/endpoints/equities/v1/summary
0.0006,T55,1,defillama,/equities/v1/price-history,/equities/v1/price-history,Company price time series,Unknown exact count; supported ticker/country directory exists.,history,"Validate adjustments, gaps, timestamps and price units against an authorised reference.",Historical bars; interval size does not prove delivery latency.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P6 source/provenance assessment; Monid authority unverified.,See P6 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company historical chart,Five-minute intraday bars are best effort and may fall back to daily; not a tick stream.,entity_daily,0,0,1100,11000,3000,30000,0.6599999999999999,6.6,1.7999999999999998,18.0,https://api.monid.ai/public/v1/providers/defillama/endpoints/equities/v1/price-history
0.0006,T56,1,defillama,/equities/v1/companies-list,/equities/v1/companies-list,Supported company directory,Unknown exact count; supported ticker/country directory exists.,lookup,"Useful candidate matching; validate exchange, instrument type and issuer identifiers.","Mostly reference data; newly listed, delisted and renamed securities need updates.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P6 source/provenance assessment; Monid authority unverified.,See P6 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Catalogue users and data operations,Coverage audit and catalogue matching,This is the relevant universe to test; exact count and Monid coverage are not publicly established.,global_daily,0,0,1100,11000,30,30,0.6599999999999999,6.6,0.018,0.018,https://api.monid.ai/public/v1/providers/defillama/endpoints/equities/v1/companies-list
0.0006,T57,1,defillama,/equities/v1/ohlcv,/equities/v1/ohlcv,OHLCV price candles,Unknown exact count; supported ticker/country directory exists.,history,"Validate adjustments, gaps, timestamps and price units against an authorised reference.",Historical bars; interval size does not prove delivery latency.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P6 source/provenance assessment; Monid authority unverified.,See P6 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Candlestick research chart,"Short windows use best-effort 5-minute candles with possible daily fallback; longer windows are daily. Verify session, adjustments and returned interval.",entity_market,0,0,1100,11000,171600,1716000,0.6599999999999999,6.6,102.96,1029.6,https://api.monid.ai/public/v1/providers/defillama/endpoints/equities/v1/ohlcv
0.0006,T58,1,defillama,/equities/v1/onchain,/equities/v1/onchain,Tokenized-equity and perpetual-contract venue mappings,Unknown exact count; supported ticker/country directory exists.,venue,"Verify underlying stock, token issuer, contract type and venue identity; derivative/token exposure is not direct ownership of the underlying stock.",Official API documents an hourly snapshot; no guaranteed Monid ingestion lag.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Low for core news; niche feature,See P6 source/provenance assessment; Monid authority unverified.,See P6 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Advanced crypto/equity researchers,Optional venues offering stock-linked token or perpetual exposure,"US-listed tickers only; no history. Maps stock-linked exposure venues, not company-owned crypto or treasury holdings; token issuer differs from underlying listed company.",entity_onchain,0,0,1100,11000,72000,720000,0.6599999999999999,6.6,43.199999999999996,431.99999999999994,https://api.monid.ai/public/v1/providers/defillama/endpoints/equities/v1/onchain
0.0006,T59,1,defillama,/equities/v1/dimensions,/equities/v1/dimensions,"Quarterly/annual revenue, holder-revenue, earnings and share series",Unknown exact count; supported ticker/country directory exists.,derived,"Validate methodology, source fields and period consistency.",Dependent on underlying source updates and calculation window.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P6 source/provenance assessment; Monid authority unverified.,See P6 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company financial-trend comparisons,"Defined financial metric series, not arbitrary operational KPIs or business/geographic segments; validate periods and company completeness.",entity_daily,0,0,1100,11000,3000,30000,0.6599999999999999,6.6,1.7999999999999998,18.0,https://api.monid.ai/public/v1/providers/defillama/endpoints/equities/v1/dimensions
0.01,T60,2,secform4,/search,Search filings,Search insider and ownership filings,Unknown company/CIK count; SEC-derived issuer/owner universe.,lookup,"Useful candidate matching; validate exchange, instrument type and issuer identifiers.","Mostly reference data; newly listed, delisted and renamed securities need updates.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P7 source/provenance assessment; Monid authority unverified.,See P7 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Catalogue users and data operations,Insider research search,Search scope and pagination unverified; company and owner identifiers are different.,lookup_demand,0,0,1100,11000,550.0,5500.0,11.0,110.0,5.5,55.0,https://api.monid.ai/public/v1/providers/secform4/endpoints/search
0.01,T61,2,secform4,/get_13d_filings,Get 13D filings,Activist or significant beneficial-ownership disclosures,Unknown company/CIK count; SEC-derived issuer/owner universe.,beneficial,"Verify original schedule, ownership basis, filer type and amendments.",Disclosure-triggered; not a real-time transaction stream.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P7 source/provenance assessment; Monid authority unverified.,See P7 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Ownership and event researchers,Ownership-event alerts linked to original filings,"13D is beneficial ownership, not a complete trade tape; filing deadlines differ from Form 4.",global_insider,0,0,1100,11000,1408,1408,11.0,110.0,14.08,14.08,https://api.monid.ai/public/v1/providers/secform4/endpoints/get_13d_filings
0.01,T62,2,secform4,/get_insider_sales,Get insider sales,Reported insider sale list,Unknown company/CIK count; SEC-derived issuer/owner universe.,insider,High auditability with original filing; parsing and transaction interpretation need checks.,Disclosure-lagged; vendor ingestion lag and Monid tier unmeasured.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P7 source/provenance assessment; Monid authority unverified.,See P7 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors studying executive disclosures,Shared insider-sales feed,Public source module explicitly six months delayed; Monid entitlement and actual freshness unknown.,global_insider,0,0,1100,11000,1408,1408,11.0,110.0,14.08,14.08,https://api.monid.ai/public/v1/providers/secform4/endpoints/get_insider_sales
0.01,T63,2,secform4,/get_significant_insider_buys,Get significant insider buys,Selected large insider purchases,Unknown company/CIK count; SEC-derived issuer/owner universe.,insider,High auditability with original filing; parsing and transaction interpretation need checks.,Disclosure-lagged; vendor ingestion lag and Monid tier unmeasured.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P7 source/provenance assessment; Monid authority unverified.,See P7 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors studying executive disclosures,Prioritised insider alert queue,Public source six-month delay; vendor selection threshold is not evidence of investment quality.,global_insider,0,0,1100,11000,1408,1408,11.0,110.0,14.08,14.08,https://api.monid.ai/public/v1/providers/secform4/endpoints/get_significant_insider_buys
0.01,T64,2,secform4,/get_institution_holders,Get institutional holders,Institutional holders of an issuer,Unknown company/CIK count; SEC-derived issuer/owner universe.,ownership,"Reconcile reporting manager, quarter, security class and amendments.","Periodic, historically reported holdings; not real-time ownership.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P7 source/provenance assessment; Monid authority unverified.,See P7 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Company and institutional-portfolio researchers,Company ownership history,Reported holdings lag quarter-end; holder population and security class matching matter.,entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/secform4/endpoints/get_institution_holders
0.01,T65,2,secform4,/get_insider_buy_sell_ratios,Get insider buy/sell ratios,Aggregated insider purchase/sale ratios,Unknown company/CIK count; SEC-derived issuer/owner universe.,derived,"Validate methodology, source fields and period consistency.",Dependent on underlying source updates and calculation window.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P7 source/provenance assessment; Monid authority unverified.,See P7 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Labelled insider-activity indicator,"Public source six-month delay; ratios depend on transaction types, window and reporting population.",global_insider,0,0,1100,11000,1408,1408,11.0,110.0,14.08,14.08,https://api.monid.ai/public/v1/providers/secform4/endpoints/get_insider_buy_sell_ratios
